Clave,Estado,Municipio,Poblacion
7069,Chiapas,Pijijiapan,46439
30086,Veracruz,Jalacingo,37791
16050,Michoacán,Maravatío,70170
28003,Tamaulipas,Altamira,162628
7109,Chiapas,Yajalón,31457
15088,México,Tenancingo,80183
16108,Michoacán,Zamora,170748
20278,Oaxaca,San Miguel Soyaltepec,34842
18009,Nayarit,Del Nayar,30551
7094,Chiapas,Teopisca,32368
7076,Chiapas,Sabanilla,23675
24057,San Luis Potosí,Matlapa,29548
12010,Guerrero,Atlixtac,23371
13080,Hidalgo,Yahualica,22238
20134,Oaxaca,San Felipe Jalapa de Díaz,25395
7030,Chiapas,Chicomuselo,28260
12002,Guerrero,Ahuacuotzingo,23026
7004,Chiapas,Altamirano,24725
12071,Guerrero,Xochistlahuaca,25180
4009,Campeche,Escárcega,50106
4003,Campeche,Carmen,199988
30159,Veracruz,Tehuipango,20406
7038,Chiapas,Huixtán,19018
2001,Baja California,Ensenada,413481
7066,Chiapas,Pantelhó,19228
7039,Chiapas,Huitiupán,20087
17007,Morelos,Cuernavaca,349102
20406,Oaxaca,Santa María Chilchotla,20577
24041,San Luis Potosí,Tanlajás,19062
13027,Hidalgo,Huehuetla,22927
26026,Sonora,Etchojoa,55697
20469,Oaxaca,Santiago Juxtlahuaca,33401
12061,Guerrero,Tixtla de Guerrero,37300
6009,Colima,Tecomán,98150
7049,Chiapas,Larráinzar,17320
12043,Guerrero,Metlatónoc,17398
15080,México,Sultepec,24986
21195,Puebla,Vicente Guerrero,20391
13078,Hidalgo,Xochiatipan,18157
12040,Guerrero,Leonardo Bravo,22982
12020,Guerrero,Copanatoyac,17337
20171,Oaxaca,San José Tenango,18120
12062,Guerrero,Tlacoachistlahuaca,18055
5017,Coahuila,Matamoros,99707
2002,Baja California,Mexicali,855962
21114,Puebla,Puebla,1485941
7078,Chiapas,San Cristóbal de las Casa,166460
15122,México,Valle de Chalco Solidarid,332279
11014,Guanajuato,Dolores Hidalgo Cuna de la Independencia,134641
30160,Veracruz,Temapache,100790
11027,Guanajuato,Salamanca,233623
26018,Sonora,Cajeme,375800
9011,Distrito Federal,Tláhuac,344106
24013,San Luis Potosí,Ciudad Valles,156859
30044,Veracruz,Córdoba,186623
25012,Sinaloa,Mazatlán,403888
14053,Jalisco,Lagos de Moreno,140001
11042,Guanajuato,Valle de Santiago,127945
18017,Nayarit,Tepic,336403
9013,Distrito Federal,Xochimilco,404458
20043,Oaxaca,Juchitán de Zaragoza,85869
21208,Puebla,Zacatlán,69833
12035,Guerrero,Iguala de la Independencia,128444
28041,Tamaulipas,Victoria,293044
21043,Puebla,Cuetzalan del Progreso,45781
10012,Durango,Lerdo,129191
27013,Tabasco,Nacajuca,86105
30143,Veracruz,Santiago Tuxtla,54939
27010,Tabasco,Jalpa de Méndez,72969
23002,Quintana Roo,Felipe Carrillo Puerto,65373
21132,Puebla,San Martín Texmelucan,130316
12038,Guerrero,José Azueta,104609
25010,Sinaloa,El Fuerte,92585
11009,Guanajuato,Comonfort,70189
21174,Puebla,Teziutlán,88970
24024,San Luis Potosí,Rioverde,85945
21164,Puebla,Tepeaca,67157
21207,Puebla,Zacapoaxtla,50447
13046,Hidalgo,San Felipe Orizatlán,38472
31096,Yucatán,Tizimín,69553
30123,Veracruz,Pánuco,91006
27001,Tabasco,Balancán,53038
20334,Oaxaca,Villa de Tututepec de Melchor Ocam,40767
28027,Tamaulipas,Nuevo Laredo,355827
24035,San Luis Potosí,Soledad de Graciano Sánchez,226803
26042,Sonora,Navojoa,144598
12022,Guerrero,Coyuca de Catalán,41975
16082,Michoacán,Tacámbaro,59920
13073,Hidalgo,Tlanchinol,33694
4004,Campeche,Champotón,76116
30109,Veracruz,Misantla,59980
10023,Durango,Pueblo Nuevo,47104
11035,Guanajuato,Santa Cruz de Juventino Rosas,70323
11015,Guanajuato,Guanajuato,153364
27015,Tabasco,Tacotalpa,42833
9006,Distrito Federal,Iztacalco,395025
15067,México,Otzolotepec,67611
9015,Distrito Federal,Cuauhtémoc,521348
4001,Campeche,Calkiní,49850
11001,Guanajuato,Abasolo,77094
21177,Puebla,Tlacotepec de Benito Juárez,44579
15014,México,Atlacomulco,77831
30032,Veracruz,Catemaco,46702
18015,Nayarit,Santiago Ixcuintla,84314
16079,Michoacán,Salvador Escalante,38502
15120,México,Zumpango,127988
30071,Veracruz,Huatusco,49081
13030,Hidalgo,Ixmiquilpan,73903
16066,Michoacán,Pátzcuaro,79868
16097,Michoacán,Turicato,31494
11002,Guanajuato,Acámbaro,101762
11005,Guanajuato,Apaseo el Grande,73863
15111,México,Villa de Allende,41938
30189,Veracruz,Túxpam,134394
21050,Puebla,Chichiquila,23072
7072,Chiapas,Pueblo Nuevo Solistahuacá,27832
30174,Veracruz,Tierra Blanca,86075
30073,Veracruz,Hueyapan de Ocampo,38175
16071,Michoacán,Puruándiro,64590
24021,San Luis Potosí,Mexquitic de Carmona,48484
30131,Veracruz,Poza Rica de Hidalgo,181438
30102,Veracruz,Martínez de la Torre,97768
14067,Jalisco,Puerto Vallarta,220368
12048,Guerrero,Petatlán,44485
13062,Hidalgo,Tepehuacán de Guerrero,27240
15090,México,Tenango del Valle,68669
7051,Chiapas,Mapastepec,37945
13077,Hidalgo,Tulancingo de Bravo,129935
22004,Querétaro,Cadereyta de Montes,57204
26033,Sonora,Huatabampo,74533
30161,Veracruz,Tempoal,33107
11031,Guanajuato,San Francisco del Rincón,103217
14093,Jalisco,Tepatitlán de Morelos,126625
19006,Nuevo León,Apodaca,418784
24050,San Luis Potosí,Villa de Reyes,42010
11004,Guanajuato,Apaseo el Alto,57942
27014,Tabasco,Paraíso,78519
15105,México,Tlatlaya,33308
15045,México,Jilotepec,71624
21001,Puebla,Acajete,53115
11046,Guanajuato,Yuriria,63447
20041,Oaxaca,Huautla de Jiménez,31829
11028,Guanajuato,Salvatierra,92411
21110,Puebla,Palmar de Bravo,39077
7008,Chiapas,Angel Albino Corzo,28883
21004,Puebla,Acatzingo,46178
29013,Tlaxcala,Huamantla,77076
22001,Querétaro,Amealco de Bonfil,56457
28021,Tamaulipas,El Mante,112061
20198,Oaxaca,San Juan Guichicovi,27646
16052,Michoacán,Lázaro Cárdenas,162997
16025,Michoacán,Chilchota,30299
7032,Chiapas,Escuintla,27364
13025,Hidalgo,Huautla,22521
7040,Chiapas,Huixtla,47953
21154,Puebla,Tecamachalco,64380
9002,Distrito Federal,Azcapotzalco,425298
21186,Puebla,Tlatlauquitepec,47151
13002,Hidalgo,Acaxochitlán,34892
30048,Veracruz,Cosoleacaque,104970
7015,Chiapas,Cacahoatán,40975
4011,Campeche,Candelaria,37006
