Clave,Estado,Municipio,Poblacion,I_Rezago
20228,Oaxaca,San Lorenzo Cuaunecuiltitla,738,1.866593
20217,Oaxaca,San Juan Tamazola,3170,1.858161
20024,Oaxaca,Cuyamecalco Villa de Zaragoza,3783,1.85797
20146,Oaxaca,San Francisco Logueche,2240,1.850329
8007,Chihuahua,Balleza,16235,1.845412
21050,Puebla,Chichiquila,23072,1.838726
20325,Oaxaca,San Pedro Quiatoni,9824,1.835385
20502,Oaxaca,Santiago Zacatepec,4871,1.827721
20284,Oaxaca,San Miguel Tilquiápam,3442,1.823774
7093,Chiapas,Tenejapa,37826,1.81666
7100,Chiapas,Tumbalá,28884,1.815503
20297,Oaxaca,San Pablo Tijaltepec,2529,1.808448
30184,Veracruz,Tlaquilpa,6554,1.808326
20031,Oaxaca,Tamazulápam del Espíritu Santo,6908,1.805273
20514,Oaxaca,Santo Domingo Roayaga,863,1.80364
20110,Oaxaca,San Antonio Sinicahua,1298,1.8026
7064,Chiapas,Oxchuc,41423,1.800047
30202,Veracruz,Zontecomatlán de López y Fuentes,13091,1.79754
21049,Puebla,Chiconcuautla,13562,1.792055
30127,Veracruz,La Perla,18930,1.782848
20133,Oaxaca,San Esteban Atatlahuca,3676,1.779949
20337,Oaxaca,San Pedro y San Pablo Ayutla,4319,1.777215
20534,Oaxaca,San Vicente Coatlán,3378,1.775893
20134,Oaxaca,San Felipe Jalapa de Díaz,25395,1.775203
7039,Chiapas,Huitiupán,20087,1.768517
30018,Veracruz,Aquila,1616,1.757957
20276,Oaxaca,San Miguel Santa Flor,795,1.750903
20155,Oaxaca,San Ildefonso Sola,789,1.750265
20127,Oaxaca,San Cristóbal Amoltepec,1179,1.744796
30103,Veracruz,Mecatlán,11256,1.744172
20187,Oaxaca,San Juan Coatzóspam,2019,1.743973
8030,Chihuahua,Guazapares,8010,1.743601
20424,Oaxaca,Santa María Ozolotepec,4023,1.739844
20457,Oaxaca,Santiago Camotlán,3089,1.738445
30168,Veracruz,Tequila,12206,1.734893
20326,Oaxaca,San Pedro Sochiápam,4603,1.733619
20527,Oaxaca,Santos Reyes Pápalo,2647,1.719908
7115,Chiapas,Maravilla Tenejapa,10906,1.719501
20048,Oaxaca,Magdalena Mixtepec,1101,1.710963
20302,Oaxaca,San Pedro Atoyac,3464,1.710058
20407,Oaxaca,Santa María Chimalapa,8643,1.702183
30107,Veracruz,Las Minas,2824,1.700191
20454,Oaxaca,Santiago Atitlán,3187,1.696409
21195,Puebla,Vicente Guerrero,20391,1.695763
20007,Oaxaca,Asunción Ocotlán,3257,1.695198
20436,Oaxaca,Santa María Texcatitlán,911,1.695003
20460,Oaxaca,Santiago Choápam,4979,1.693633
20137,Oaxaca,San Francisco Cahuacuá,3170,1.682858
20377,Oaxaca,Santa Cruz Itundujia,10386,1.681642
21077,Puebla,Hueytlalpan,4661,1.673865
21072,Puebla,Huehuetla,15616,1.670508
20367,Oaxaca,Santa Catarina Mechoacán,4409,1.669263
20477,Oaxaca,Santiago Minas,1504,1.66682
20311,Oaxaca,San Pedro Jaltepetongo,271,1.653305
20434,Oaxaca,Santa María Teopoxco,4436,1.646443
20395,Oaxaca,Santa María Apazco,1629,1.644936
20275,Oaxaca,San Miguel Quetzaltepec,6015,1.644001
20162,Oaxaca,San Jerónimo Taviche,1750,1.641267
20277,Oaxaca,Villa Sola de Vega,11884,1.640842
20098,Oaxaca,San Andrés Teotilálpam,4255,1.632557
20050,Oaxaca,Magdalena Peñasco,3461,1.631875
13053,Hidalgo,San Bartolo Tutotepec,17837,1.625909
10034,Durango,Tamazula,25888,1.624099
20259,Oaxaca,San Miguel Ahuehuetitlán,2226,1.623467
20051,Oaxaca,Magdalena Teitipac,4296,1.621533
30195,Veracruz,Xoxocotla,4641,1.617573
12028,Guerrero,Chilapa de Álvarez,105146,1.614259
30149,Veracruz,Soteapan,28104,1.613872
20309,Oaxaca,San Pedro Ixcatlán,10931,1.61087
20437,Oaxaca,Santa María Tlahuitoltepec,9000,1.609722
20366,Oaxaca,Santa Catarina Loxicha,4163,1.604768
12045,Guerrero,Olinalá ,22437,1.598022
20205,Oaxaca,San Juan Lalana,16335,1.597155
7005,Chiapas,Amatán,19637,1.59647
20448,Oaxaca,Santa María Zaniza,1818,1.596287
30203,Veracruz,Zozocolco de Hidalgo,12455,1.595336
31073,Yucatán,Tahdziú,3891,1.586671
20355,Oaxaca,Santa Ana Cuauhtémoc,783,1.581797
7060,Chiapas,Ocotepec,10543,1.580468
20111,Oaxaca,San Antonio Tepetlapa,3873,1.580331
21167,Puebla,Tepetzintla,9442,1.579176
20468,Oaxaca,Santiago Jocotepec,12423,1.575029
20126,Oaxaca,San Cristóbal Amatlán,3978,1.57256
20511,Oaxaca,Santo Domingo Nuxaá,3253,1.572292
20512,Oaxaca,Santo Domingo Ozolotepec,962,1.567457
30019,Veracruz,Astacinga,4846,1.566786
21078,Puebla,Huitzilan de Serdán,12088,1.56225
20027,Oaxaca,Chiquihuitlán de Benito Juárez,2368,1.557586
20543,Oaxaca,Tataltepec de Valdés,5377,1.557174
12012,Guerrero,Ayutla de los Libres,55974,1.548259
7096,Chiapas,Tila,63172,1.541799
21084,Puebla,Ixtepec,6745,1.541525
20225,Oaxaca,San Lorenzo,5781,1.541109
12042,Guerrero,Mártir de Cuilapan,15272,1.541003
20254,Oaxaca,San Mateo Río Hondo,2806,1.540894
21005,Puebla,Acteopan,2914,1.538802
20158,Oaxaca,San Jacinto Tlacotepec,2145,1.536284
20012,Oaxaca,Candelaria Loxicha,8686,1.529181
20200,Oaxaca,San Juan Juquila Mixes,3557,1.525515
20159,Oaxaca,San Jerónimo Coatlán,4979,1.525062
7059,Chiapas,Ocosingo,170280,1.519362
21107,Puebla,Olintla,12104,1.517166
31019,Yucatán,Chemax,30023,1.514221
20438,Oaxaca,Santa María Tlalixtac,1568,1.509096
7081,Chiapas,Simojovel,32451,1.507713
20372,Oaxaca,Santa Catarina Yosonotú,1864,1.503928
7116,Chiapas,Marqués de Comillas,8538,1.497214
20041,Oaxaca,Huautla de Jiménez,31829,1.496076
20361,Oaxaca,Santa Catalina Quierí,992,1.495951
12051,Guerrero,Quechultenango,33367,1.493284
20235,Oaxaca,San Luis Amatlán,3393,1.491418
21116,Puebla,Quimixtlán,19609,1.489304
20069,Oaxaca,La Pe,2135,1.487128
21123,Puebla,San Felipe Tepatlán,4309,1.485204
20425,Oaxaca,Santa María Pápalo,2087,1.484526
7077,Chiapas,Salto de Agua,53547,1.483842
20208,Oaxaca,San Juan Mixtepec - Dto. 08 -,7423,1.476316
30171,Veracruz,Texhuacán,4740,1.474386
24003,San Luis Potosí,Aquismón,45074,1.473451
8020,Chihuahua,Chínipas,7471,1.469947
7052,Chiapas,Las Margaritas,98374,1.46692
7118,Chiapas,San Andrés Duraznal,3145,1.465417
20323,Oaxaca,San Pedro Ocotepec,2171,1.460905
20315,Oaxaca,San Pedro Mártir,1781,1.459494
30201,Veracruz,Zongolica,39156,1.459356
15124,México,San José del Rincón,79945,1.455865
20272,Oaxaca,San Miguel Panixtlahuaca,5724,1.453128
20312,Oaxaca,San Pedro Jicayán,10252,1.440945
10002,Durango,Canelas,4091,1.435733
7033,Chiapas,Francisco León,6454,1.431578
13027,Hidalgo,Huehuetla,22927,1.430674
20142,Oaxaca,San Francisco Huehuetlán,1251,1.428436
18019,Nayarit,La Yesca,12025,1.424475
20270,Oaxaca,San Miguel Huautla,1237,1.422508
20535,Oaxaca,San Vicente Lachixío,3154,1.41983
20167,Oaxaca,San José del Peñasco,1863,1.416929
20071,Oaxaca,Pluma Hidalgo,3314,1.413556
20061,Oaxaca,Monjas,2104,1.409484
30025,Veracruz,Ayahualulco,23431,1.408458
