Clave,Estado,Municipio,Poblacion,P_PobrezaAlimentaria
13027,Hidalgo,Huehuetla," 22,927 ",62.2
13025,Hidalgo,Huautla," 22,521 ",73.0
13080,Hidalgo,Yahualica," 22,238 ",77.9
13011,Hidalgo,Atlapexco," 18,769 ",74.7
13078,Hidalgo,Xochiatipan," 18,157 ",73.9
13014,Hidalgo,Calnali," 15,815 ",56.3
13068,Hidalgo,Tianguistengo," 13,478 ",55.2
13026,Hidalgo,Huazalingo," 11,863 ",72.8
14061,Jalisco,Mezquitic," 15,674 ",60.1
15074,M‚xico,San Felipe del Progreso," 100,201 ",54.9
15124,M‚xico,San Jos‚ del Rinc¢n," 79,945 ",57.5
16097,Michoac n,Turicato," 31,494 ",62.6
16025,Michoac n,Chilchota," 30,299 ",54.7
16099,Michoac n,Tuzantla," 15,302 ",60.6
16029,Michoac n,Churumuco," 13,801 ",61.9
16092,Michoac n,Tiquicheo de Nicol s Romero," 13,665 ",61.6
16101,Michoac n,Tzitzio," 9,394 ",55.3
16013,Michoac n,Car cuaro," 9,337 ",57.7
16081,Michoac n,Susupuato," 7,703 ",56.9
16057,Michoac n,Nocup‚taro," 7,649 ",57.0
18009,Nayarit,Del Nayar," 30,551 ",60.6
20334,Oaxaca,Villa de Tututepec de Melchor Ocam," 40,767 ",56.6
20198,Oaxaca,San Juan Guichicovi," 27,646 ",60.2
20134,Oaxaca,San Felipe Jalapa de D¡az," 25,395 ",68.1
20190,Oaxaca,San Juan Cotzoc¢n," 22,478 ",58.7
20406,Oaxaca,Santa Mar¡a Chilchotla," 20,577 ",70.4
20232,Oaxaca,San Lucas Ojitl n," 19,871 ",60.2
20171,Oaxaca,San Jos‚ Tenango," 18,120 ",71.8
20085,Oaxaca,San Agust¡n Loxicha," 17,823 ",68.9
20386,Oaxaca,Santa Cruz Zenzontepec," 16,773 ",75.6
20205,Oaxaca,San Juan Lalana," 16,335 ",67.2
20207,Oaxaca,San Juan Mazatl n," 16,138 ",71.3
20526,Oaxaca,Santos Reyes Nopala," 14,504 ",60.8
20058,Oaxaca,Mazatl n Villa de Flores," 12,934 ",60.4
20248,Oaxaca,San Mateo del Mar," 12,667 ",58.4
20468,Oaxaca,Santiago Jocotepec," 12,423 ",71.4
20242,Oaxaca,San Mart¡n Peras," 12,406 ",59.5
20277,Oaxaca,Villa Sola de Vega," 11,884 ",61.8
20136,Oaxaca,San Felipe Usila," 11,642 ",73.0
20466,Oaxaca,Santiago Ixtayutla," 11,542 ",75.1
20450,Oaxaca,Santiago Amoltepec," 11,113 ",68.7
20309,Oaxaca,San Pedro Ixcatl n," 10,931 ",55.7
20377,Oaxaca,Santa Cruz Itundujia," 10,386 ",63.6
20312,Oaxaca,San Pedro Jicay n," 10,252 ",56.1
20125,Oaxaca,San Carlos Yautepec," 9,857 ",58.2
20437,Oaxaca,Santa Mar¡a Tlahuitoltepec," 9,000 ",61.4
20509,Oaxaca,Santo Domingo de Morelos," 8,751 ",67.7
20012,Oaxaca,Candelaria Loxicha," 8,686 ",61.2
20188,Oaxaca,San Juan Colorado," 8,669 ",58.2
20407,Oaxaca,Santa Mar¡a Chimalapa," 8,643 ",67.4
20426,Oaxaca,Santa Mar¡a Pe¤oles," 7,640 ",72.4
20016,Oaxaca,Coicoy n de las Flores," 7,598 ",74.2
20266,Oaxaca,San Miguel del Puerto," 7,510 ",61.5
20234,Oaxaca,San Lucas Zoqui pam," 7,384 ",64.3
20446,Oaxaca,Santa Mar¡a Yucuhiti," 6,496 ",57.7
20392,Oaxaca,Santa Luc¡a Monteverde," 6,397 ",62.8
20229,Oaxaca,San Lorenzo Texmel£can," 6,319 ",80.6
20072,Oaxaca,San Jos‚ del Progreso," 6,164 ",57.0
20275,Oaxaca,San Miguel Quetzaltepec," 6,015 ",63.4
20261,Oaxaca,San Miguel Amatitl n," 5,938 ",54.7
20210,Oaxaca,San Juan ¥um¡," 5,796 ",56.2
20225,Oaxaca,San Lorenzo," 5,781 ",55.6
20272,Oaxaca,San Miguel Panixtlahuaca," 5,724 ",64.3
20040,Oaxaca,Huautepec," 5,672 ",69.4
20498,Oaxaca,Santiago Yaveo," 5,503 ",56.6
20543,Oaxaca,Tataltepec de Vald‚s," 5,377 ",67.5
20036,Oaxaca,Guevea de Humboldt," 5,283 ",56.1
20159,Oaxaca,San Jer¢nimo Coatl n," 4,979 ",75.4
20460,Oaxaca,Santiago Cho pam," 4,979 ",58.9
20015,Oaxaca,Coatecas Altas," 4,882 ",60.5
20502,Oaxaca,Santiago Zacatepec," 4,871 ",69.5
20554,Oaxaca,Totontepec Villa de Morelos," 4,780 ",58.3
20489,Oaxaca,Santiago Tetepec," 4,708 ",70.3
20326,Oaxaca,San Pedro Sochi pam," 4,603 ",70.4
20434,Oaxaca,Santa Mar¡a Teopoxco," 4,436 ",70.2
20367,Oaxaca,Santa Catarina Mechoac n," 4,409 ",64.9
20494,Oaxaca,Santiago Tlazoyaltepec," 4,357 ",67.9
20051,Oaxaca,Magdalena Teitipac," 4,296 ",63.9
20098,Oaxaca,San Andr‚s Teotil lpam," 4,255 ",73.0
20366,Oaxaca,Santa Catarina Loxicha," 4,163 ",66.2
20213,Oaxaca,San Juan Quiahije," 4,154 ",66.2
20330,Oaxaca,San Pedro Teutila," 4,139 ",61.1
20095,Oaxaca,San Andr‚s Paxtl n," 4,066 ",62.4
20029,Oaxaca,Eloxochitl n de Flores Mag¢n," 4,042 ",64.7
20424,Oaxaca,Santa Mar¡a Ozolotepec," 4,023 ",62.0
20126,Oaxaca,San Crist¢bal Amatl n," 3,978 ",61.6
20306,Oaxaca,San Pedro el Alto," 3,949 ",71.1
20202,Oaxaca,San Juan Lachao," 3,936 ",57.3
20384,Oaxaca,Santa Cruz Xitla," 3,933 ",59.4
20153,Oaxaca,San Gabriel Mixtepec," 3,930 ",56.2
20491,Oaxaca,Santiago Textitl n," 3,929 ",70.9
20291,Oaxaca,San Pablo Coatl n," 3,876 ",69.7
20111,Oaxaca,San Antonio Tepetlapa," 3,873 ",64.7
20532,Oaxaca,Santo Tom s Ocotepec," 3,789 ",71.3
20517,Oaxaca,Santo Domingo Tepuxtepec," 3,714 ",66.0
20116,Oaxaca,San Bartolom‚ Ayautla," 3,713 ",73.5
20169,Oaxaca,San Jos‚ Independencia," 3,689 ",70.0
20410,Oaxaca,Santa Mar¡a Ecatepec," 3,635 ",55.4
20200,Oaxaca,San Juan Juquila Mixes," 3,557 ",61.4
20170,Oaxaca,San Jos‚ Lachiguiri," 3,541 ",74.1
20302,Oaxaca,San Pedro Atoyac," 3,464 ",62.9
20050,Oaxaca,Magdalena Pe¤asco," 3,461 ",59.2
20284,Oaxaca,San Miguel Tilqui pam," 3,442 ",68.7
20534,Oaxaca,San Vicente Coatl n," 3,378 ",67.1
20017,Oaxaca,La Compa¤¡a," 3,367 ",61.8
20203,Oaxaca,San Juan Lachigalla," 3,363 ",60.9
20071,Oaxaca,Pluma Hidalgo," 3,314 ",60.0
20511,Oaxaca,Santo Domingo Nuxa ," 3,253 ",61.9
20396,Oaxaca,Santa Mar¡a la Asunci¢n," 3,223 ",63.9
20454,Oaxaca,Santiago Atitl n," 3,187 ",64.5
20137,Oaxaca,San Francisco Cahuacu ," 3,170 ",64.3
20217,Oaxaca,San Juan Tamazola," 3,170 ",58.5
20535,Oaxaca,San Vicente Lachix¡o," 3,154 ",63.5
20273,Oaxaca,San Miguel Peras," 3,126 ",64.9
20457,Oaxaca,Santiago Camotl n," 3,089 ",71.0
20347,Oaxaca,San Sebasti n R¡o Hondo," 3,069 ",59.0
20391,Oaxaca,Santa Luc¡a Miahuatl n," 3,023 ",68.8
20378,Oaxaca,Santa Cruz Mixtepec," 2,984 ",56.5
20412,Oaxaca,Santa Mar¡a Guienagati," 2,911 ",59.8
20530,Oaxaca,Santo Tom s Jalieza," 2,885 ",57.0
20495,Oaxaca,Santiago Xanica," 2,829 ",68.2
20263,Oaxaca,San Miguel Coatl n," 2,808 ",72.6
20254,Oaxaca,San Mateo R¡o Hondo," 2,806 ",57.3
20490,Oaxaca,Santiago Texcalcingo," 2,781 ",68.2
20211,Oaxaca,San Juan Ozolotepec," 2,779 ",71.3
20113,Oaxaca,San Baltazar Loxicha," 2,751 ",65.2
20161,Oaxaca,San Jer¢nimo Sosola," 2,736 ",56.5
20212,Oaxaca,San Juan Petlapa," 2,717 ",71.7
20279,Oaxaca,San Miguel Suchixtepec," 2,694 ",61.8
20379,Oaxaca,Santa Cruz Nundaco," 2,692 ",58.6
20253,Oaxaca,San Mateo Pi¤as," 2,647 ",55.4
20527,Oaxaca,Santos Reyes P palo," 2,647 ",68.1
20433,Oaxaca,Santa Mar¡a Temaxcaltepec," 2,628 ",72.2
20117,Oaxaca,San Bartolom‚ Loxicha," 2,617 ",62.9
20240,Oaxaca,San Mart¡n Itunyoso," 2,554 ",55.2
20297,Oaxaca,San Pablo Tijaltepec," 2,529 ",69.9
20231,Oaxaca,San Lucas Camotl n," 2,524 ",73.3
20344,Oaxaca,San Sebasti n Coatl n," 2,509 ",63.3
20352,Oaxaca,San Sim¢n Zahuatl n," 2,481 ",79.0
20561,Oaxaca,Yaxe," 2,442 ",58.0
20060,Oaxaca,Mixistl n de la Reforma," 2,438 ",64.0
20189,Oaxaca,San Juan Comaltepec," 2,389 ",66.4
20271,Oaxaca,San Miguel Mixtepec," 2,387 ",71.9
20435,Oaxaca,Santa Mar¡a Tepantlali," 2,315 ",57.9
20388,Oaxaca,Santa In‚s del Monte," 2,275 ",66.3
20182,Oaxaca,San Juan Bautista Tlacoatzintepec," 2,241 ",72.4
20146,Oaxaca,San Francisco Logueche," 2,240 ",72.3
20259,Oaxaca,San Miguel Ahuehuetitl n," 2,226 ",63.2
20323,Oaxaca,San Pedro Ocotepec," 2,171 ",66.6
